Id,Time,Value_mean,Value_sum,Value_max,Value_min
2347167796,2016-04-02 03:00:00,75.33923303834808,25540,87.0,66.0
2347167796,2016-04-02 04:00:00,70.66369047619048,23743,83.0,62.0
2347167796,2016-04-02 05:00:00,70.25730994152046,24028,85.0,62.0
2347167796,2016-04-02 06:00:00,70.80246913580247,22940,84.0,63.0
2347167796,2016-04-02 07:00:00,68.74117647058823,23372,85.0,60.0
2347167796,2016-04-02 08:00:00,73.34278959810875,31024,101.0,58.0
2347167796,2016-04-02 09:00:00,84.85208333333334,40729,106.0,67.0
2347167796,2016-04-02 10:00:00,113.70223752151463,66061,148.0,62.0
2347167796,2016-04-02 11:00:00,84.11883408071749,37517,128.0,63.0
2347167796,2016-04-02 12:00:00,82.87261146496816,39033,102.0,62.0
2347167796,2016-04-02 13:00:00,79.87323943661971,34026,101.0,67.0
2347167796,2016-04-02 14:00:00,81.81670533642692,35263,102.0,62.0
2347167796,2016-04-02 15:00:00,81.86089238845145,31189,121.0,64.0
2347167796,2016-04-02 16:00:00,86.40506329113924,40956,136.0,70.0
2347167796,2016-04-02 17:00:00,88.90380761523046,44363,111.0,71.0
2347167796,2016-04-02 18:00:00,87.12421052631579,41384,129.0,59.0
2347167796,2016-04-02 19:00:00,78.80348258706468,31679,93.0,69.0
2347167796,2016-04-02 20:00:00,82.49643705463183,34731,115.0,71.0
2347167796,2016-04-02 21:00:00,85.00450450450451,37742,114.0,71.0
2347167796,2016-04-02 22:00:00,75.73170731707317,6210,82.0,70.0
2347167796,2016-04-02 23:00:00,73.16129032258064,9072,103.0,58.0
2347167796,2016-04-03 00:00:00,69.66871165644172,22712,80.0,62.0
2347167796,2016-04-03 01:00:00,68.83174603174604,21682,78.0,60.0
2347167796,2016-04-03 02:00:00,66.38278931750742,22371,70.0,59.0
2347167796,2016-04-03 03:00:00,65.55016181229773,20255,80.0,58.0
2347167796,2016-04-03 04:00:00,64.64161849710983,11183,77.0,58.0
2347167796,2016-04-03 05:00:00,62.30246913580247,10093,73.0,57.0
2347167796,2016-04-03 06:00:00,62.03151862464183,21649,77.0,54.0
2347167796,2016-04-03 07:00:00,63.71559633027523,20835,88.0,54.0
2347167796,2016-04-03 08:00:00,77.03105590062111,12402,118.0,61.0
2347167796,2016-04-03 09:00:00,78.47513812154696,28408,106.0,60.0
2347167796,2016-04-03 10:00:00,73.74311926605505,32152,101.0,60.0
2347167796,2016-04-03 11:00:00,81.53004291845494,37993,111.0,62.0
2347167796,2016-04-03 12:00:00,70.95755968169762,26751,104.0,57.0
2347167796,2016-04-03 13:00:00,77.67076167076166,31612,103.0,58.0
2347167796,2016-04-03 14:00:00,73.44366197183099,31287,102.0,59.0
2347167796,2016-04-03 15:00:00,83.40855106888361,35115,105.0,58.0
2347167796,2016-04-03 16:00:00,96.75342465753425,42378,118.0,65.0
2347167796,2016-04-03 17:00:00,77.88471849865952,29051,92.0,65.0
2347167796,2016-04-03 18:00:00,81.32489451476793,38548,99.0,58.0
2347167796,2016-04-03 19:00:00,81.88683127572017,39797,108.0,58.0
2347167796,2016-04-03 20:00:00,79.82045454545455,35121,129.0,66.0
2347167796,2016-04-03 21:00:00,78.36220472440945,29856,129.0,65.0
2347167796,2016-04-03 22:00:00,71.7344262295082,21879,82.0,66.0
2347167796,2016-04-03 23:00:00,68.31446540880503,21724,80.0,64.0
2347167796,2016-04-04 00:00:00,63.55485893416928,20274,84.0,58.0
2347167796,2016-04-04 01:00:00,64.275,20568,80.0,58.0
2347167796,2016-04-04 02:00:00,63.778481012658226,20154,81.0,57.0
2347167796,2016-04-04 03:00:00,62.602523659305994,19845,74.0,58.0
